isolate,location,clonal_lineage
H.78,H.Int,13A2
H.239,H.Int,13A2
H.71,H.Int,13A2
H.111,H.FrMz,13A2
H.84,H.Oco,13A2
H.58,H.Int,13A2
H.217,H.Int,13A2
H.242,H.Int,13A2
H.73,H.Int,13A2
H.220,H.Int,13A2
H.61,H.Int,13A2
H.228,H.Int,13A2
H.90,H.Oco,13A2
H.63,H.Oco,13A2
H.10,H.Int,13A2
H.18,H.Int,13A2
H.240,H.Int,13A2
H.115,H.FrMz,13A2
H.113,H.FrMz,13A2
H.114,H.FrMz,13A2
H.88,H.Int,13A2
H.91,H.Int,13A2
H.44,H.Int,13A2
H.54,H.Int,13A2
H.52,H.Int,13A2
H.67,H.Int,13A2
H.19,H.Int,13A2
H.80,H.Int,13A2
H.95,H.Int,13A2
H.70,H.Int,13A2
H.72,H.Int,13A2
H.57,H.Int,13A2
H.68,H.Lemp,13A2
H.53,H.Int,13A2
H.13,H.Int,13A2
H.186,H.Int,13A2
H.193,H.Int,13A2
H.187,H.Int,13A2
H.168,H.Int,13A2
H.175,H.Int,13A2
H.159,H.Int,13A2
H.192,H.Int,13A2
G27,G.Sol,13A2
G64,G.Qtz,13A2
G56,G.Qtz,13A2
H.124,H.Int,13A2
H.92,H.Int,13A2
H.233,H.Int,13A2
H.30,H.Int,13A2
H.238,H.Int,13A2
H.221,H.Int,13A2
H.24,H.Int,13A2
H.25,H.Int,13A2
H.236,H.Int,13A2
H.201,H.Int,13A2
H.43,H.Int,13A2
G51,G.Htg,13A2
H.157,H.Int,13A2
H.153,H.Int,13A2
H.154,H.Int,13A2
H.204,H.Int,13A2
H.182,H.Int,13A2
H.202,H.Int,13A2
H.165,H.Int,13A2
H.199,H.Int,13A2
H.195,H.Int,13A2
H.196,H.Int,13A2
H.206,H.Int,13A2
H.213,H.Int,13A2
H.17,H.Int,13A2
H.235,H.Int,13A2
H.223,H.Int,13A2
H.11,H.Int,13A2
H.107,H.Int,13A2
H.117,H.Int,13A2
H.227,H.Int,13A2
H.191,H.Int,13A2
H.177,H.Int,13A2
H.174,H.Int,13A2
H.164,H.Int,13A2
H.169,H.Int,13A2
G59,G.Qtz,13A2
H.198,H.Int,13A2
H.171,H.Int,13A2
H.148,H.Int,13A2
H.83,H.Oco,13A2
H.51,H.Int,13A2
H.42,H.Int,13A2
H.27,H.Int,13A2
H.23,H.Int,13A2
H.14,H.Int,13A2
H.22,H.Int,13A2
H.218,H.Int,13A2
H.215,H.Int,13A2
H.211,H.Int,13A2
H.207,H.Int,13A2
H.203,H.Int,13A2
H.190,H.Int,13A2
H.184,H.Int,13A2
H.178,H.Int,13A2
H.172,H.Int,13A2
H.167,H.Int,13A2
H.163,H.Int,13A2
H.162,H.Int,13A2
H.152,H.Int,13A2
H.156,H.Int,13A2
25_14AN3_5_13A2180,13A2,13A2
H.66,H.Int,13A2
H.103,H.Int,13A2
2006_4132B_13A2_1,13A2,13A2
H.32,H.Int,13A2
H.35,H.Int,13A2
H.112,H.FrMz,13A2
H.40,H.Int,13A2
H.39,H.Int,13A2
H.36,H.Int,13A2
H.38,H.Int,13A2
H.106,H.Int,13A2
H.50,H.Int,13A2
H.132,H.Int,13A2
G8,G.Qtz,13A2
H.170,H.Int,13A2
H.144,H.Int,13A2
