12,243,1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H.78,H.Int,136,140,158,0,264,264,0,284,294,0,170,170,0,192,192,0,244,244,0,279,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213
H.239,H.Int,0,0,0,0,264,264,0,284,294,0,170,170,0,192,192,0,240,244,0,279,279,0,154,154,0,266,266,0,341,341,0,173,173,0,205,205
H.71,H.Int,0,136,142,0,264,266,284,292,294,0,170,170,0,192,192,0,240,244,0,273,279,0,160,162,0,266,268,0,341,341,0,173,173,0,205,213
H.111,H.FrMz,140,142,152,0,264,266,284,294,296,0,170,170,0,192,192,0,244,244,0,273,279,0,154,158,264,266,268,0,341,341,0,173,173,0,205,213
H.84,H.Oco,0,136,170,0,258,264,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,266,0,329,341,0,173,173,0,205,213
H.58,H.Int,140,140,156,0,264,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,158,0,266,266,0,341,341,0,173,175,0,205,213
H.217,H.Int,134,136,152,0,260,260,0,284,292,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.242,H.Int,0,136,152,0,260,260,0,284,294,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,331,341,0,173,173,0,205,213
H.73,H.Int,0,154,154,0,260,260,284,292,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.220,H.Int,0,0,0,0,260,260,0,284,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,205
H.61,H.Int,140,142,152,0,260,264,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,266,268,270,0,341,341,0,173,173,0,205,205
