12,243,1,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H.78,13A2,136,140,158,0,264,264,0,284,294,0,170,170,0,192,192,0,244,244,0,279,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213
H.239,13A2,0,0,0,0,264,264,0,284,294,0,170,170,0,192,192,0,240,244,0,279,279,0,154,154,0,266,266,0,341,341,0,173,173,0,205,205
H.71,13A2,0,136,142,0,264,266,284,292,294,0,170,170,0,192,192,0,240,244,0,273,279,0,160,162,0,266,268,0,341,341,0,173,173,0,205,213
H.111,13A2,140,142,152,0,264,266,284,294,296,0,170,170,0,192,192,0,244,244,0,273,279,0,154,158,264,266,268,0,341,341,0,173,173,0,205,213
H.84,13A2,0,136,170,0,258,264,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,266,0,329,341,0,173,173,0,205,213
H.58,13A2,140,140,156,0,264,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,158,0,266,266,0,341,341,0,173,175,0,205,213
H.217,13A2,134,136,152,0,260,260,0,284,292,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.242,13A2,0,136,152,0,260,260,0,284,294,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,331,341,0,173,173,0,205,213
H.73,13A2,0,154,154,0,260,260,284,292,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.220,13A2,0,0,0,0,260,260,0,284,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,205
H.61,13A2,140,142,152,0,260,264,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,266,268,270,0,341,341,0,173,173,0,205,205
H.228,13A2,0,136,136,0,260,260,0,294,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.90,13A2,136,140,152,0,260,264,0,284,284,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.63,13A2,136,136,162,0,260,266,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,272,0,341,341,0,173,173,0,205,213
H.10,13A2,0,136,152,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.18,13A2,0,0,0,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.240,13A2,0,136,152,0,264,264,0,0,0,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.115,13A2,144,146,150,0,260,266,284,292,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.113,13A2,142,146,150,260,264,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.114,13A2,142,146,150,260,264,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,264,266,268,0,341,341,0,173,173,0,205,213
H.88,13A2,138,140,154,0,258,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.91,13A2,134,140,154,0,258,264,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.44,13A2,136,142,154,0,0,0,0,284,294,166,168,170,0,192,192,0,240,244,0,0,0,0,154,160,0,266,268,0,0,0,0,173,175,0,205,213
H.54,13A2,0,136,142,260,262,266,284,294,298,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.52,13A2,136,140,152,260,262,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.67,13A2,136,140,158,260,264,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.19,13A2,136,144,156,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.80,13A2,136,140,158,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,329,341,0,173,173,0,205,213
H.95,13A2,0,140,154,0,0,0,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,164,0,266,268,0,329,341,0,173,173,0,205,213
H.70,13A2,136,140,158,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.72,13A2,136,140,158,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.57,13A2,136,140,160,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.68,13A2,136,142,160,0,260,266,0,284,294,166,168,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.53,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213
H.13,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213
H.186,13A2,136,140,150,0,260,266,0,284,294,0,166,166,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,205
H.193,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.187,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,331,341,0,173,173,0,205,213
H.168,13A2,136,140,150,254,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.175,13A2,136,140,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.159,13A2,138,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
H.192,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,331,341,0,173,173,0,205,213
G27,13A2,136,138,162,0,260,266,0,286,292,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,0,266,268,0,341,341,0,173,173,0,205,213
G64,13A2,134,140,156,0,260,266,286,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
G56,13A2,134,136,158,0,260,266,286,294,296,0,166,170,0,192,192,0,240,244,0,273,279,154,158,160,0,266,268,0,341,341,0,173,173,0,205,213
H.124,13A2,136,158,160,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,268,0,341,341,0,173,173,0,205,213
H.92,13A2,0,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213
H.233,13A2,136,144,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,160,160,0,266,266,0,341,341,0,173,173,0,205,213
H.30,13A2,136,142,158,0,260,266,0,284,294,0,166,170,0,189,189,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213
H.238,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,279,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.221,13A2,0,140,140,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.24,13A2,136,140,152,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.25,13A2,138,140,152,0,260,266,284,294,296,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.236,13A2,134,144,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.201,13A2,136,146,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.43,13A2,136,144,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
G51,13A2,136,144,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.157,13A2,136,144,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.153,13A2,136,144,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.154,13A2,136,144,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.204,13A2,136,138,152,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.182,13A2,136,140,154,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.202,13A2,136,140,152,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.165,13A2,136,140,150,0,260,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.199,13A2,136,140,150,0,260,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.195,13A2,136,140,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.196,13A2,136,140,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.206,13A2,136,138,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.213,13A2,136,138,150,260,264,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.17,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,154,160,166,0,266,266,0,341,341,0,173,173,0,205,213
H.235,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,158,0,266,266,0,341,341,0,173,173,0,205,213
H.223,13A2,136,140,150,0,260,266,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.11,13A2,136,140,152,0,260,266,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.107,13A2,136,140,152,0,260,266,284,292,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.117,13A2,136,140,156,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.227,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.191,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.177,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.174,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.164,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.169,13A2,136,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
G59,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.198,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.171,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.148,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.83,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.51,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.42,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.27,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.23,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.14,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.22,13A2,136,140,152,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.218,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.215,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
H.211,13A2,136,140,150,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213
